Religious Affliation,South Asian Heritage,Cause of Mental Health problems,Treatability,Treatments,Experience or Wittnessed stigma,Incident Description,latitude,longitude
Islam,Maldives,Lifestyle and genetics.,No,They can be brought under control but not cured.,Experienced,Was told to go off antidepressants because depression is “not real”,-0.6837126223691866,73.19199720253606
,Maldives,Genetics and mentality,No,,Experienced,Annoying in time,-0.6869675725391932,73.13322789751952
Hindhu,India,Genetics,No,It's something you are born with,Experienced,,17.21067645437328,73.36999115491282
Islam,Maldives,"Genetics, environment and trauma",Yes,"With medication, therapy and a lot of will power",Experienced,Yes,3.087197216356792,73.63921082682371
Islam,Maldives,Stress and uncertainty,Yes,Psychoherapy and psychopharmaceuticals,Experienced,When saying I am going to consult a Psychologist I was asked whether i am psycho.,0.22346754395211743,73.13390542332345
Islam,Maldives,"Stress, relationships (friends, family), upbringing etc",Yes,Through therapy and recovery as per how comfortable the patient is,Experienced,Was told that depression is just something they say to get out of fulfilling responsibilities,4.735907829468857,73.49972661444204
Islam,Maldives,"Lack of awareness, education and due to both biological and environmental factors",Yes,Mental heal can be treated by self care and proffesioneler help,Experienced,Was labelled as a person with lack or eman and crazy,0.23082782943943603,73.27616829475343
Islam,Maldives,Life?,Yes,"Takes time, patience and help",Experienced,Was going through a panic attack and had to stay with her till it resided,0.2737958677523,73.4304723603296
Islam,Maldives,Environment,Yes,Medication/ psychotherapy/ CBT,Experienced,Underestimating ability of a person with mental health issues,3.936812882605396,73.48786920690968
Islam,Maldives,"Stress , tension",Yes,"By meditating, medication",Experienced,Stress and anxiety,6.8878982001737015,73.23469426834086
Islam,Maldives,"Socio-economic problems,",Yes,With right techniques over time,Experienced,Some people considering mental health problems are due to lack of faith,-0.5839247917634497,73.23216220349813
Islam,Maldives,Biological social and environmental factors,Yes,Yes there can be treatments to manage the illness,Experienced,Seen many people hide their symptoms and not share their experiences because of what others may think,2.9496475630543095,73.58367459046735
Islam,Maldives,Moslty due to self esteem and societal views,Yes,By getting professional help,Experienced,Seeing people blame the person’s religiosity,2.920927134594099,73.58030133527997
Islam,Maldives,Stress and Trauma,Yes,Therapy and Medication,Experienced,People think they can’t be relied upon,2.197023055032587,73.12892308108826
Islam,Maldives,"Can be anything. Trauma, family problems, stress, etc…",Yes,,Experienced,People think having a mental condition means that the person is crazy or something.,0.5273811033952401,72.99761542503012
Islam,Maldives,Genetics + experiences,Yes,,Experienced,People not believing in the condition itself & asking to be more religious for you to be okay,6.3235041427250485,73.15014919253541
Islam,Maldives,trauma,Yes,through both therapy and medication. strong support group,Experienced,people making fun of my suicide attempt,-0.6421955708606735,73.10426369703254
Islam,Maldives,Trauma,Yes,Medication and therapy and help from loved ones,Experienced,"People look down on you, assume you can’t fully achieve much, assume you’re crazy.",0.28305368492809413,73.439512063333
Islam,Maldives,stressful life evens,Yes,"they are many ways nowaday mental health can be treated. by therapies, medications",Experienced,"one of close friend.. we think she needs help.. she said she doesn't need help and it's effecting so much on her health, work and personal life",0.22482538637454275,73.27146138272347
Islam,Maldives,stress and relationship issues,Yes,therapies and medication,Experienced,one of close friend. she need help badly but she is scared to go for therapy because of what peoole will say,5.158793218769463,73.1251426743393
Islam,Maldives,Society,Yes,Support and assistance,Experienced,,-0.6891866305210985,73.1421500113628
Islam,Maldives,Trauma,Yes,therapy,Experienced,,1.8600233105042823,73.51953112208058
Islam,Maldives,Loss of loved ones,Yes,With help,Experienced,,5.716200021316792,73.41443983612523
Islam,Maldives,Stress,Yes,Proper counselling,Experienced,,2.7729928460221975,73.4241298052186
Agnostic,Maldives,generational trauma and childhood trauma,Yes,you can learn how to cope and how to live with them.,Experienced,my mental illness went ignored during childhood because i was assumed to be dramatic - even when there were sudden changes in behaviour and clear signs. when i first asked for help i was told to try harder.,4.9562738205353565,73.46331125038503
Islam,Maldives,Stress and difficult living situation,Yes,With medications and councelig,Experienced,"Moya naasira story, I hope you will know that story",5.899251086882274,73.45887943380761
Agnostic,Maldives,"stress, childhood trauma, other traumatic and abusive experiences",Yes,,Experienced,mental illnesses are considered as an excuse or not real,2.922093214171226,73.58229090183879
Islam,Maldives,Less faith and lack of love,Yes,Have more faith in the creator and witty love and care,Experienced,Losing temper and getting hysterical,7.08562958115178,72.92555942064384
Islam,Maldives,being alone,Yes,through therapy,Experienced,leaving them out,-0.5976997717843631,73.08179926297194
Islam,Maldives,"Childhood trauma related to bullying, comparison with other kids around you by your family or teachers, abuse, troubled family, constant bickering around you, isolation, etc,.",Yes,"Consult a professional, be around people who understands you and supports your wellbeing.",Experienced,It’s hard to explain. So many of my own mental health conditions are challenging. It’s not easy. Especially when you don’t have people around you who gives full consideration into your comfort zones.,5.489779139146968,73.41015344743097
Islam,Maldives,"Childhood trauma, family trauma, stress",Yes,"Loved once or professional help, self",Experienced,It's usually of arrogance. Not understanding,-0.696924238315381,73.16594253444822
Islam,Maldives,A lot of things.,Yes,,Experienced,I was told that Depression is not real.,2.324303348007079,72.91531303717214
Islam,Maldives,"Social and financial circumstances, biological factors, and lifestyle choices",Yes,With proper treatments they can also lead a better life,Experienced,"I started having ptsd after the loss of my baby, people tend to left me out, got no one to talk to and fails understand how badly you might need help",2.949355534009874,73.58373960730276
Islam,Maldives,Environment and genetics,Yes,With professional help it can be treated but some disorders cannot be treated but symptoms can be managed,Experienced,I have been told that I am overreacting and pretending for attention,6.6258373748243695,73.06552093844404
Islam,Maldives,Stess / childhood trauma,Yes,By therapy. Medication. Understanding people around you,Experienced,Got told by some of the family members that im constantly acting being in fear and being diagnosed with this is not a valid reason it doesn’t exist. And if even if its true it’s because im not a good person,0.5233636884007998,72.99526104865865
Agnostic,Maldives,"Very multifactorial, based on both nature and environmental conditions",Yes,Behavioural therapy or/and medications.,Experienced,"Generally being referred to as ""crazy people""",1.9347008224064592,73.54063083002688
Islam,Maldives,Stress and way of life,Yes,"With proper treatment and support from everyone, it can be treated",Experienced,"Feels left out, no one knows what to say or do be supportive everyone is busy with there own lives, healthcare system is too expensive to afford and at times the people to aware you don't give you supportive statements as well..",4.1769825233353,73.51289744137355
Islam,Maldives,Unable to deal with trauma and handle emotions,Yes,Therapy,Experienced,Family elders think that mental health conditions are not real and that they are caused by lack of faith. That i just need to pray to get better.,0.233256382391698,73.28123910652438
Islam,Maldives,Nature and nurture,Yes,"With proper therapy, medication (if necessary) and with a good support system",Experienced,"Called being lazy all the time, called crazy, called that overthinking and to snap out of it",5.883477323701525,73.40175808145395
Islam,Maldives,Poor past and traumatic experiences,Yes,"Yes, have been seeing improvements myself after taking EMDR therapy",Experienced,Called as a person with low faith. Just pray and do Hijama and it will be treated. Therapy is useless,0.7326457310948714,73.4322532375004
Islam,Maldives,"genetics, living conditions, situations faced by individuals in life",Yes,"through guided therapy, medication and a lot of willpower and willingness to be better from the individual in question",Experienced,being shamed for lack of hygiene and inability to meet deadlines which was a result of depression. being labeled as lazy for sleeping all the time.,-0.68114909792772,73.13506957419514
Islam,Maldives,"Genetics, Trauma",Yes,Appropriate behavioural therapy,Experienced,Accused of seeking attention / exaggeration,1.8636880254324693,73.52155803761524
Islam,Maldives,A combination you of nature and nurtue,Yes,Medication and therapy,Experienced,"A number of close friends being told to pray more when they’re extremely suicidal and depressed, family asking to keep their scars and stories hidden",0.7511406506657626,73.43816829632652
